family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
scp,,90,1,penalty,bpso,90,900000,15,0.1935,0.24162,0.137634,17,217455.0
scp,,120,0,penalty,mga,120,1200000,20,0.0323,0.2169,0.256452,25,260284
scp,,120,1,penalty,ils,120,1200000,20,1.0,0.02697,0.0,20,32362
scp,,90,2,penalty,bde,90,900000,15,0.4516,0.5823,0.051613,16,524070.0
scp,,120,1,penalty,floor,120,1200000,20,0.0,inf,0.087097,22,
scp,,120,0,penalty,mbde,120,1200000,20,0.0323,0.98781,0.183871,24,1185368
scp,,120,1,penalty,mbpso,120,1200000,20,1.0,0.05134,0.0,20,61603
scp,,120,0,penalty,ga,120,1200000,20,0.0968,0.90012,0.085484,22,1080150
scp,,90,2,penalty,bpso,90,900000,15,0.1935,0.289,0.141935,17,260100.0
scp,,120,1,penalty,mga,120,1200000,20,0.0,inf,0.214516,24,
scp,,120,2,penalty,ils,120,1200000,20,1.0,0.0262,0.0,20,31436
scp,,120,2,penalty,floor,120,1200000,20,0.0,inf,0.093548,22,
scp,,120,1,penalty,mbde,120,1200000,20,0.0323,0.74043,0.175806,24,888517
scp,,120,1,penalty,ga,120,1200000,20,0.1613,0.85677,0.082258,21,1028130
scp,,120,2,penalty,mbpso,120,1200000,20,1.0,0.06463,0.0,20,77555
scp,,120,2,penalty,mga,120,1200000,20,0.0,inf,0.295161,26,
scp,,120,0,penalty,bde,120,1200000,20,0.2903,0.61525,0.05,21,738300
uflp,,12,0,penalty,floor,12,120000,420,1.0,0.00176,0.0,420,211
uflp,,12,0,penalty,ils,12,120000,420,1.0,0.00115,0.0,420,138
uflp,,12,0,penalty,ga,12,120000,420,1.0,0.00225,0.0,420,270
uflp,,12,0,penalty,mga,12,120000,420,1.0,0.00121,0.0,420,145
uflp,,12,0,penalty,bpso,12,120000,420,1.0,0.00575,0.0,420,690
uflp,,12,0,penalty,mbpso,12,120000,420,1.0,0.00126,0.0,420,151
uflp,,12,0,penalty,bde,12,120000,420,0.8387,0.002,0.001536,420,240.0
scp,,120,2,penalty,ga,120,1200000,20,0.1613,0.9262,0.083871,21,1111440
